"","Sample_1S10","Sample_1S11","Sample_1S12","Sample_1S13","Sample_1S14","Sample_1S15","Sample_1S16","Sample_1S17","Sample_1S18","Sample_1S19","Sample_1S1","Sample_1S20","Sample_1S21","Sample_1S22","Sample_1S23","Sample_1S24","Sample_1S25","Sample_1S2","Sample_1S3","Sample_1S4","Sample_1S5","Sample_1S6","Sample_1S7","Sample_1S8","Sample_1S9","Sample_2S10","Sample_2S11","Sample_2S12","Sample_2S13","Sample_2S14","Sample_2S15","Sample_2S16","Sample_2S17","Sample_2S18","Sample_2S19","Sample_2S1","Sample_2S20","Sample_2S21","Sample_2S22","Sample_2S23","Sample_2S24","Sample_2S25","Sample_2S2","Sample_2S3","Sample_2S4","Sample_2S5","Sample_2S6","Sample_2S7","Sample_2S8","Sample_2S9","Sample_3S10","Sample_3S11","Sample_3S12","Sample_3S13","Sample_3S14","Sample_3S15","Sample_3S16","Sample_3S17","Sample_3S18","Sample_3S19","Sample_3S1","Sample_3S20","Sample_3S21","Sample_3S22","Sample_3S23","Sample_3S24","Sample_3S25","Sample_3S2","Sample_3S3","Sample_3S4","Sample_3S5","Sample_3S6","Sample_3S7","Sample_3S8","Sample_3S9","Sample_4S10","Sample_4S11","Sample_4S12","Sample_4S13","Sample_4S14","Sample_4S15","Sample_4S16","Sample_4S17","Sample_4S18","Sample_4S19","Sample_4S1","Sample_4S20","Sample_4S21","Sample_4S22","Sample_4S23","Sample_4S24","Sample_4S25","Sample_4S2","Sample_4S3","Sample_4S4","Sample_4S5","Sample_4S6","Sample_4S7","Sample_4S9","Sample_N10","Sample_N11","Sample_N12","Sample_N13","Sample_N14","Sample_N15","Sample_N16","Sample_N17","Sample_N18","Sample_N19","Sample_N1","Sample_N20","Sample_N21","Sample_N22","Sample_N23","Sample_N24","Sample_N25","Sample_N26","Sample_N27","Sample_N28","Sample_N29","Sample_N2","Sample_N30","Sample_N31","Sample_N32","Sample_N33","Sample_N34","Sample_N35","Sample_N36","Sample_N37","Sample_N38","Sample_N39","Sample_N3","Sample_N40","Sample_N41","Sample_N42","Sample_N43","Sample_N44","Sample_N45","Sample_N46","Sample_N47","Sample_N48","Sample_N49","Sample_N4","Sample_N50","Sample_N5","Sample_N6","Sample_N7","Sample_N8","Sample_N9","Sample_Pan01","Sample_Pan02","Sample_Pan03","Sample_Pan04","Sample_Pan05","Sample_Pan06","Sample_PC10","Sample_PC11","Sample_PC12","Sample_PC13","Sample_PC14","Sample_PC15","Sample_PC16","Sample_PC17","Sample_PC18","Sample_PC19","Sample_PC1","Sample_PC20","Sample_PC21","Sample_PC22","Sample_PC23","Sample_PC24","Sample_PC25","Sample_PC26","Sample_PC27","Sample_PC28","Sample_PC29","Sample_PC2","Sample_PC30","Sample_PC31","Sample_PC32","Sample_PC33","Sample_PC34","Sample_PC35","Sample_PC36","Sample_PC3","Sample_PC4","Sample_PC5","Sample_PC6","Sample_PC7","Sample_PC8","Sample_PC9"
"ENST00000635247.1|LINC01345-203|4354",1,1,3,1,0,0,0,0,1,1,0,1,1,1,1,2,0,1,1,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,3,0,0,3,0,0,0,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2,1,0,0,1,0,1,0,1,0,2,2,1,1,3,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,1,0,2,0,0,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"ENST00000642139.1|AL805961.2-201|6588",0,1,0,0,1,0,0,1,2,1,0,0,1,1,2,0,4,1,0,2,1,3,1,1,0,3,0,2,0,1,0,0,1,1,0,0,2,1,0,0,0,0,2,2,0,1,1,1,0,1,0,0,2,2,0,1,0,1,0,0,1,0,0,2,0,0,0,3,2,4,1,2,2,1,1,2,0,0,1,0,0,0,1,1,1,2,0,1,1,0,0,0,1,3,3,1,1,1,0,1,2,1,0,0,1,1,0,2,1,2,1,1,1,2,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,2,0,1,0,0,3,2,0,0,1,0,1,0,1,2,2,0,1,0,2,0,0,0,0,1,0,0,0,2,1,1,1,0,1,1,3,0,2,1,0,1,2,0,0,0,2,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1
"ENST00000641472.1|AL355602.1-201|5245",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,3,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,2,1,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,0,1,0,1,2,1,0,1,0,0,0,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,2,1,1,2,2,1,0
"ENST00000641254.1|BX005132.2-201|9345",1,0,1,0,3,0,0,1,1,1,3,1,0,4,9,0,5,3,0,4,1,0,0,1,0,1,12,0,0,2,2,1,1,0,4,2,0,0,1,1,0,5,1,4,3,3,1,3,0,5,13,2,29,0,2,0,0,2,0,3,9,2,0,0,0,1,0,0,8,8,0,0,0,4,0,6,0,8,0,1,1,12,0,0,0,1,0,0,0,6,2,1,1,5,0,12,8,1,1,3,1,1,0,0,1,0,2,1,3,3,0,0,0,2,0,0,0,0,1,1,3,0,1,3,1,3,0,1,2,4,0,4,3,2,1,1,1,0,2,0,0,0,0,1,6,1,3,1,3,0,1,0,0,0,0,1,1,1,0,0,0,0,0,5,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1
"ENST00000641860.1|Z98259.3-202|3263",0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,2,0,0,1,1,0,0,1,1,0,0,2,1,0,1,0,2,0,4,1,1,0,0,1,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,1,2,1,0,1,0,2,2,0,0,2,1,1,3,0,1,0,2,2,2,0,3,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,4,1,0,3,2,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,1,1,2,1,0,0,0,0,0,2,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,7,0,0,3,0,1,2,0,0,0,0,1,0,0,3,0,1,0,1,2,0,0,0,2,0,0,1,0,0,2
"ENST00000641583.1|Z98259.2-201|1242",30,58,31,34,25,25,35,44,35,36,33,36,31,19,32,30,34,20,33,35,45,30,36,37,28,33,44,40,50,34,29,48,50,38,30,26,55,29,28,38,36,25,34,54,14,49,53,25,36,34,24,22,11,30,44,32,43,44,47,27,21,43,26,30,31,46,44,47,24,37,30,32,38,35,27,22,30,9,29,20,36,40,31,56,43,37,30,37,38,10,12,35,20,36,53,21,39,33,32,33,44,28,22,41,32,39,23,43,38,27,18,40,36,42,37,40,28,31,35,22,29,36,22,30,41,50,43,52,31,28,29,23,30,30,30,24,38,32,33,31,25,35,33,27,36,48,19,22,43,19,10,16,13,23,8,22,48,34,36,29,38,25,32,54,23,42,23,26,29,33,36,24,27,39,38,34,41,36,33,32,19,29,39,36,43,24,46,35,46,49,33
"ENST00000427317.1|CAMTA1-IT1-201|1329",5,7,6,5,8,13,8,11,8,14,6,2,12,15,11,5,7,15,8,9,10,6,7,5,10,16,26,13,7,11,6,1,8,8,10,7,9,8,6,8,14,7,12,6,3,10,10,15,8,16,14,7,3,7,10,7,13,4,5,4,13,6,5,14,17,8,4,14,13,11,10,9,10,4,16,15,11,11,4,4,7,11,6,10,11,9,11,9,7,4,6,8,11,10,9,2,8,10,4,7,12,7,6,6,9,12,5,14,7,5,5,3,4,7,12,9,4,11,6,6,8,8,9,10,20,5,14,7,2,4,5,12,11,19,6,5,10,14,7,18,6,23,9,8,11,21,9,11,2,2,4,4,2,5,3,9,11,14,13,11,18,18,12,9,2,14,8,4,10,9,7,9,1,4,10,6,12,13,11,5,4,6,9,14,10,14,15,14,4,9,4
"ENST00000642135.1|AL034417.4-202|3422",0,1,1,0,0,0,2,0,0,0,0,1,0,4,2,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,4,1,2,1,1,0,0,2,0,1,0,1,0,2,3,3,6,1,15,0,0,0,0,2,0,0,2,1,0,0,2,0,0,0,14,1,0,0,0,5,0,0,0,1,0,0,0,0,2,0,2,0,1,1,0,1,1,0,2,4,0,3,4,0,1,2,0,1,0,0,0,0,3,2,0,4,1,1,0,1,0,0,1,4,0,1,0,3,1,5,1,1,0,0,1,1,0,0,3,1,1,0,0,0,0,0,0,0,1,0,2,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"ENST00000635687.1|MIR34AHG-203|34382",1,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,1,2,0,0,2,0,2,0,0,1,0,0,1,1,1,2,0,2,2,0,0,1,1,0,0,2,1,4,0,0,1,1,1,0,1,0,1,0,2,0,0,1,0,2,1,0,0,0,0,0,2,1,2,1,0,1,2,0,0,1,0,3,1,1,0,2,0,3,1,1,3,2,0,4,2,1,0,0,3,1,0,0,1,1,0,1,1,1,0,1,2,2,1,0,0,1,1,2,1,2,0,0,0,0,3,2,3,1,0,2,0,1,1,0,1,0,0,3,0,2,3,0,3,3,0,0,0,0,0,0,2,1,1,1,2,0,0,0,3,0,0,1,0,1,0,2,2,0,1,0,0,0,1,4,1,0,2,1,0,2,4,1,0,1,0,2
"ENST00000606802.1|AL139423.1-201|15093",2,1,3,0,0,0,2,3,3,0,0,1,1,0,1,0,1,2,2,0,0,0,0,0,0,3,4,3,2,3,1,2,2,1,1,1,1,2,1,0,2,1,0,4,2,1,0,2,0,3,2,4,2,1,1,2,1,0,0,0,2,0,0,2,1,0,0,2,3,1,3,2,1,1,0,2,1,1,2,0,1,0,0,0,2,0,0,1,0,1,2,1,0,4,1,4,2,4,2,2,0,1,1,1,1,1,4,2,0,1,1,1,1,3,0,0,0,0,0,1,1,1,0,0,1,2,2,3,1,2,1,3,1,1,4,0,2,0,0,0,1,3,3,4,1,4,1,2,1,1,0,0,1,0,1,1,1,0,2,0,1,7,2,3,0,1,0,0,0,0,3,0,1,0,3,0,3,0,3,1,0,1,1,1,0,3,1,1,4,0,0
"ENST00000427824.1|AL031283.1-201|6455",3,0,2,1,4,1,1,2,4,1,0,3,0,5,4,0,3,2,2,2,2,0,0,2,2,3,5,2,0,0,1,1,0,1,8,0,0,1,0,4,0,2,2,2,3,2,1,5,3,1,14,3,30,0,1,0,0,0,1,0,8,1,3,0,0,1,0,1,11,10,1,0,0,1,0,3,1,9,0,0,0,5,8,2,0,4,1,2,2,2,3,0,1,2,0,7,8,0,3,1,1,0,4,2,0,3,1,2,5,0,2,0,0,0,3,1,0,4,1,0,0,1,0,4,0,2,0,1,1,2,0,1,2,0,4,0,2,0,2,2,0,1,3,4,4,1,4,2,2,0,0,0,1,0,0,2,2,0,0,1,0,0,0,2,4,0,0,0,0,1,2,2,1,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,2,0,1
"ENST00000457898.1|LINC01772-201|7534",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,1,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,3,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,2,3,1,1,2,3,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,3,2,4
"ENST00000415386.2|LINC01783-201|1764",2,0,4,6,6,5,4,8,11,1,4,6,5,0,7,3,1,3,2,2,1,4,2,4,8,1,2,2,4,3,3,1,7,4,3,2,3,2,1,5,1,3,3,0,1,0,1,2,0,2,2,3,6,9,5,7,4,2,2,0,0,0,1,0,2,3,5,1,1,1,0,2,2,3,2,9,5,2,8,1,5,6,8,0,0,3,3,4,1,3,0,1,2,3,2,1,2,1,7,1,3,1,3,1,0,5,0,3,2,4,0,2,1,0,1,4,8,2,8,2,1,10,7,6,7,10,3,2,6,4,5,0,4,2,4,1,3,2,0,2,0,4,1,0,0,0,1,3,5,1,0,1,1,2,1,1,1,1,4,2,3,5,1,1,2,3,0,9,7,3,8,5,0,7,6,4,1,3,3,1,1,2,4,2,2,2,6,0,2,3,2
"ENST00000412427.1|AL590644.1-201|7835",2,0,3,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,2,5,1,1,0,0,1,3,2,0,1,0,2,0,0,0,2,3,0,0,0,3,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,0,1,1,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,1
"ENST00000569711.1|LINC01654-201|8756",5,10,11,1,0,3,0,6,2,1,3,0,3,0,0,1,4,3,4,2,2,3,6,5,10,6,6,9,2,1,1,4,0,2,1,1,0,3,1,5,3,8,1,5,3,1,3,8,2,3,3,3,3,4,2,2,0,1,3,1,1,1,2,0,0,0,1,5,7,1,2,4,5,10,5,8,3,4,3,1,1,1,2,2,0,5,1,0,1,1,2,1,3,11,7,0,0,11,4,1,4,0,2,7,5,3,2,2,5,3,2,2,8,5,2,3,2,0,0,0,4,1,1,2,0,0,1,1,0,0,0,2,3,5,1,1,1,1,0,0,0,6,3,6,5,7,3,0,2,0,0,1,0,0,1,4,4,4,10,7,12,12,7,8,3,10,7,2,0,3,1,0,1,3,2,2,5,0,2,0,1,1,1,1,8,14,12,12,3,6,5
"ENST00000624418.1|AL365209.1-201|6473",5,4,8,3,4,3,1,0,4,1,14,3,0,3,3,2,3,3,6,4,2,4,4,12,5,3,3,11,3,2,2,1,4,3,2,7,8,3,1,3,0,10,5,1,5,9,1,4,5,5,3,8,11,9,2,4,2,0,4,2,13,0,1,2,1,2,4,6,12,1,4,4,4,8,6,13,6,8,1,4,5,4,3,3,3,11,3,2,2,1,1,0,6,9,6,3,0,11,7,6,4,2,5,4,4,4,3,5,8,15,1,3,8,3,4,3,2,2,0,0,5,0,1,0,1,0,2,2,4,1,0,5,9,1,4,2,4,1,2,3,3,5,12,8,5,6,4,2,3,0,1,2,1,1,1,6,7,4,7,3,7,8,12,2,5,6,11,3,1,2,3,1,3,2,2,1,1,0,1,2,1,3,0,3,2,9,14,8,4,2,6
"ENST00000606379.1|AL137127.1-201|3402",0,0,1,0,1,0,0,2,3,2,1,0,1,1,3,1,1,2,2,1,2,2,1,0,1,9,3,6,4,1,0,5,1,2,6,1,2,2,4,1,1,2,1,3,2,2,1,5,3,1,1,0,2,1,2,1,0,1,0,0,0,2,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,4,1,0,6,3,1,6,1,1,0,11,3,0,5,2,1,8,0,1,5,0,3,1,0,0,3,6,0,2,2,2,0,2,3,1,2,0,3,1,4,1,0,0,7,0,0,5,2,1,2,2,1,9,1,1,6,1,0,0,7,6,4,0,0,1,1,0,0,2,1,2,2,1,0,0,0,1,0,2,1,0,1,1,1,1,0,2,1,5,0,0,1,0,3,1,3,0,5,0,0,1,1,2,1,1,0,2,2,3,0,3,0,1,1
